customer_id,zone_id,customer_name,gender,age,signup_date,customer_segment,is_active,created_at
31,1,Pooja Kale,Female,39,2025-11-22,Working Professional,True,2025-11-22
32,6,Yash Kadam,Male,32,2024-07-09,Working Professional,True,2024-07-09
33,4,Om Naik,Male,30,2025-08-17,Working Professional,True,2025-08-17
34,1,Tanvi Patil,Female,24,2024-10-03,Working Professional,True,2024-10-03
35,7,Pooja Chavan,Female,35,2025-10-17,Working Professional,True,2025-10-17
36,3,Shruti Patil,Female,23,2025-05-11,Student,True,2025-05-11
37,3,Rutuja Naik,Female,44,2025-02-12,Family,True,2025-02-12
38,3,Kavya Joshi,Female,39,2024-12-18,Working Professional,False,2024-12-18
39,2,Harsh Shinde,Male,39,2024-05-07,Working Professional,True,2024-05-07
40,5,Diya Chavan,Female,25,2024-03-24,Student,True,2024-03-24
41,6,Ritvik Gawande,Male,22,2024-11-23,Student,True,2024-11-23
42,8,Yash Kulkarni,Male,26,2024-05-22,Food Enthusiast,True,2024-05-22
43,2,Priya Pawar,Female,25,2024-12-27,Student,True,2024-12-27
44,7,Sneha Gawande,Female,36,2024-12-28,Working Professional,True,2024-12-28
45,4,Tanmay Bhosale,Male,36,2025-05-17,Family,True,2025-05-17
46,3,Karan Chavan,Male,24,2025-12-14,Working Professional,False,2025-12-14
47,3,Naina Chavan,Female,24,2025-03-06,Working Professional,False,2025-03-06
48,7,Kavya Pawar,Other,36,2025-06-07,Working Professional,False,2025-06-07
49,2,Atharva Pawar,Male,25,2024-03-09,Student,False,2024-03-09
50,2,Tanvi Naik,Female,49,2025-10-23,Family,True,2025-10-23
51,1,Swapnil Naik,Male,36,2024-06-10,Family,True,2024-06-10
52,8,Yash Naik,Male,24,2024-10-17,Student,True,2024-10-17
53,1,Om Pawar,Male,32,2024-08-18,Family,False,2024-08-18
54,3,Ritvik Kulkarni,Male,24,2025-01-12,Student,True,2025-01-12
55,8,Tanmay Pawar,Male,30,2025-12-28,Working Professional,False,2025-12-28
56,2,Vedant Naik,Male,42,2024-03-24,Family,False,2024-03-24
57,4,Rutuja More,Female,27,2024-07-24,Working Professional,True,2024-07-24
58,6,Vaishnavi Pawar,Female,40,2024-04-19,Family,True,2024-04-19
59,2,Harsh Bhosale,Male,29,2024-08-26,Working Professional,True,2024-08-26
60,3,Shruti Pawar,Female,18,2024-12-10,Student,True,2024-12-10
61,6,Kavya Pawar,Female,39,2025-10-07,Family,True,2025-10-07
62,7,Nikhil Naik,Male,25,2025-02-09,Working Professional,True,2025-02-09
63,6,Pooja Jadhav,Female,41,2025-01-25,Family,True,2025-01-25
64,1,Ritvik Bhosale,Male,33,2024-09-16,Working Professional,True,2024-09-16
65,3,Kavya Kale,Female,44,2024-09-05,Food Enthusiast,True,2024-09-05
66,6,Aarav Gawande,Male,25,2024-12-02,Food Enthusiast,True,2024-12-02
67,7,Pranav Patil,Male,24,2024-11-02,Working Professional,True,2024-11-02
68,8,Rutuja Joshi,Female,34,2025-06-28,Family,True,2025-06-28
69,8,Kavya Jadhav,Other,22,2025-01-17,Student,True,2025-01-17
70,2,Swara Deshmukh,Female,44,2025-03-19,Family,False,2025-03-19
71,6,Sakshi Pawar,Female,33,2024-11-21,Family,True,2024-11-21
72,6,Aisha Jadhav,Female,19,2025-08-18,Student,True,2025-08-18
73,6,Tanmay Deshmukh,Male,53,2025-07-11,Family,True,2025-07-11
74,3,Rutuja Kulkarni,Female,37,2025-06-30,Working Professional,True,2025-06-30
75,7,Siddharth Shinde,Male,27,2025-12-26,Working Professional,True,2025-12-26
76,2,Swapnil Deshmukh,Male,22,2025-07-29,Student,True,2025-07-29
77,1,Riya Gawande,Female,39,2024-10-15,Family,True,2024-10-15
78,4,Om Kale,Male,37,2024-10-07,Working Professional,True,2024-10-07
79,3,Shruti Naik,Female,23,2025-05-23,Student,True,2025-05-23
80,6,Meera Bhosale,Female,24,2025-04-28,Food Enthusiast,True,2025-04-28
81,6,Ankita Gawande,Female,25,2025-10-05,Student,True,2025-10-05
82,4,Karan Shinde,Male,39,2025-10-10,Working Professional,True,2025-10-10
83,1,Tanvi Kadam,Female,36,2024-06-27,Family,True,2024-06-27
84,1,Swara Gawande,Female,35,2025-07-07,Family,True,2025-07-07
85,7,Shruti Kale,Female,51,2025-02-01,Family,True,2025-02-01
86,5,Aryan Patil,Male,33,2024-01-30,Family,True,2024-01-30
87,1,Siddharth Jadhav,Male,36,2024-07-01,Family,True,2024-07-01
88,3,Meera Patil,Female,20,2024-04-03,Student,True,2024-04-03
89,5,Naina Sawant,Female,19,2025-11-28,Student,True,2025-11-28
90,5,Vedant Pawar,Male,47,2025-03-06,Family,False,2025-03-06
91,7,Atharva Naik,Male,54,2024-09-18,Family,False,2024-09-18
92,3,Diya Patil,Female,43,2025-04-19,Family,True,2025-04-19
93,4,Pranav Pawar,Male,20,2025-10-28,Student,True,2025-10-28
94,1,Om More,Male,21,2024-03-15,Student,True,2024-03-15
95,1,Kavya Chavan,Female,34,2025-02-14,Food Enthusiast,True,2025-02-14
96,8,Siddharth Kale,Male,28,2024-07-14,Food Enthusiast,False,2024-07-14
97,1,Priya Gawande,Female,24,2024-09-14,Working Professional,True,2024-09-14
98,6,Tanvi Chavan,Female,29,2024-12-13,Working Professional,True,2024-12-13
99,7,Swara Jadhav,Female,52,2024-03-23,Family,True,2024-03-23
100,5,Pranav Joshi,Male,38,2025-10-24,Food Enthusiast,True,2025-10-24
101,4,Aryan Naik,Male,37,2024-01-09,Working Professional,True,2024-01-09
102,1,Swapnil Kadam,Male,36,2025-08-08,Working Professional,True,2025-08-08
103,4,Nikhil Kale,Male,23,2024-05-09,Student,True,2024-05-09
104,7,Priya Kulkarni,Female,45,2024-11-28,Family,True,2024-11-28
105,1,Harsh Patil,Male,25,2025-12-23,Student,True,2025-12-23
106,5,Nikhil Jadhav,Male,32,2024-07-18,Working Professional,True,2024-07-18
107,5,Om Sawant,Male,40,2024-07-30,Working Professional,True,2024-07-30
108,4,Aditya More,Male,20,2024-01-03,Student,True,2024-01-03
109,7,Aniket Kulkarni,Male,25,2025-12-27,Working Professional,True,2025-12-27
110,8,Sakshi Chavan,Other,37,2024-10-24,Working Professional,False,2024-10-24
111,5,Karan Sawant,Male,30,2024-09-16,Working Professional,False,2024-09-16
112,7,Tanvi More,Female,36,2025-07-24,Family,True,2025-07-24
113,6,Sneha Kadam,Female,37,2024-08-26,Working Professional,True,2024-08-26
114,5,Tanmay Naik,Male,39,2024-09-22,Family,True,2024-09-22
115,1,Om Kadam,Male,29,2024-07-30,Working Professional,True,2024-07-30
116,6,Vaishnavi Gawande,Female,19,2025-09-01,Student,True,2025-09-01
117,3,Sneha Sawant,Female,31,2024-03-31,Working Professional,True,2024-03-31
118,8,Riya Deshmukh,Female,39,2024-08-23,Working Professional,True,2024-08-23
119,4,Vedant Jadhav,Male,19,2024-03-12,Student,False,2024-03-12
120,8,Tejas Jadhav,Male,49,2024-06-27,Family,True,2024-06-27
121,2,Meera Chavan,Female,24,2025-03-24,Food Enthusiast,False,2025-03-24
122,7,Tanmay Kulkarni,Male,33,2024-08-23,Working Professional,True,2024-08-23
123,4,Riya Naik,Female,38,2025-02-25,Working Professional,True,2025-02-25
124,7,Karan Joshi,Male,19,2025-02-09,Student,True,2025-02-09
125,2,Aniket Kale,Male,18,2025-01-15,Student,True,2025-01-15
126,4,Meera Kale,Female,39,2024-04-16,Family,True,2024-04-16
127,6,Swara Patil,Female,24,2025-05-26,Student,True,2025-05-26
128,7,Sakshi Deshmukh,Female,31,2024-06-28,Working Professional,True,2024-06-28
129,5,Aarav Sawant,Male,32,2025-12-18,Working Professional,True,2025-12-18
130,1,Komal Chavan,Female,23,2024-02-08,Student,True,2024-02-08
131,8,Aditya Chavan,Male,42,2024-07-15,Food Enthusiast,True,2024-07-15
132,2,Karan More,Male,28,2025-08-18,Food Enthusiast,True,2025-08-18
133,2,Tejas Kadam,Male,26,2024-02-20,Working Professional,True,2024-02-20
134,5,Meera Kulkarni,Female,24,2024-07-13,Working Professional,True,2024-07-13
135,3,Harsh Jadhav,Male,27,2025-07-19,Working Professional,True,2025-07-19
136,3,Pooja Pawar,Female,35,2025-12-22,Working Professional,True,2025-12-22
137,1,Rutuja Jadhav,Female,24,2024-11-19,Food Enthusiast,True,2024-11-19
138,3,Soham Shinde,Male,25,2024-12-26,Food Enthusiast,True,2024-12-26
139,5,Soham Gawande,Male,35,2024-07-21,Family,False,2024-07-21
140,2,Komal Kadam,Female,36,2025-01-25,Family,True,2025-01-25
141,8,Aarav Pawar,Male,49,2024-10-23,Family,True,2024-10-23
142,8,Ankita Kale,Female,22,2024-11-06,Student,True,2024-11-06
143,1,Neha More,Female,40,2025-09-24,Family,True,2025-09-24
144,7,Shruti Kulkarni,Female,32,2024-05-26,Working Professional,True,2024-05-26
145,1,Rutuja Gawande,Female,48,2025-05-24,Family,True,2025-05-24
146,3,Aditya Bhosale,Male,33,2025-09-24,Working Professional,True,2025-09-24
147,4,Shruti Kadam,Female,30,2025-04-24,Working Professional,True,2025-04-24
148,1,Swapnil Chavan,Male,23,2024-11-12,Working Professional,True,2024-11-12
149,5,Om Joshi,Male,21,2024-12-09,Student,True,2024-12-09
150,2,Ankita Chavan,Female,21,2025-11-15,Student,True,2025-11-15
151,2,Vaishnavi Shinde,Female,55,2024-06-21,Family,True,2024-06-21
152,3,Pranav Kale,Male,37,2025-02-24,Working Professional,False,2025-02-24
153,2,Vedant Chavan,Male,24,2025-09-21,Working Professional,True,2025-09-21
154,4,Ananya Deshmukh,Female,39,2024-07-17,Working Professional,True,2024-07-17
155,4,Naina Bhosale,Female,19,2025-08-01,Student,True,2025-08-01
156,3,Aryan Pawar,Male,25,2025-08-14,Student,False,2025-08-14
157,7,Sneha Patil,Female,27,2025-06-21,Working Professional,False,2025-06-21
158,8,Tanmay Joshi,Male,42,2024-04-23,Family,True,2024-04-23
159,8,Shruti More,Female,25,2025-08-07,Working Professional,True,2025-08-07
160,6,Ananya Sawant,Female,34,2024-05-21,Family,True,2024-05-21
161,4,Ritvik Jadhav,Male,24,2024-11-15,Working Professional,False,2024-11-15
162,6,Vaishnavi Patil,Female,31,2025-06-18,Working Professional,True,2025-06-18
163,4,Harsh Sawant,Male,21,2024-05-01,Student,True,2024-05-01
164,2,Yash More,Male,28,2025-11-21,Working Professional,True,2025-11-21
165,3,Ritvik Kadam,Male,26,2024-05-10,Food Enthusiast,True,2024-05-10
166,3,Akash Chavan,Male,53,2025-09-19,Family,True,2025-09-19
167,6,Tanvi Jadhav,Female,37,2024-05-12,Family,True,2024-05-12
168,3,Rutuja Bhosale,Female,34,2024-04-26,Working Professional,True,2024-04-26
169,2,Sakshi Kadam,Female,23,2025-01-04,Student,True,2025-01-04
170,6,Naina Patil,Female,40,2025-01-28,Family,True,2025-01-28
171,2,Atharva Bhosale,Male,37,2024-05-11,Working Professional,True,2024-05-11
172,3,Meera More,Female,38,2025-03-11,Working Professional,True,2025-03-11
173,7,Akash Patil,Male,42,2025-02-23,Food Enthusiast,False,2025-02-23
174,4,Vedant Deshmukh,Male,43,2024-11-09,Food Enthusiast,False,2024-11-09
175,8,Pooja Shinde,Female,18,2024-05-09,Student,True,2024-05-09
176,7,Riya Kadam,Female,38,2025-01-14,Family,False,2025-01-14
177,8,Yash Sawant,Male,29,2025-02-22,Working Professional,True,2025-02-22
178,1,Neha Chavan,Female,51,2025-02-05,Family,True,2025-02-05
179,6,Aditya Patil,Male,23,2025-05-25,Working Professional,True,2025-05-25
180,2,Rohan Gawande,Male,42,2025-08-14,Family,True,2025-08-14
181,3,Priya Deshmukh,Female,28,2025-11-06,Working Professional,True,2025-11-06
182,2,Aditya Naik,Male,26,2025-01-10,Working Professional,True,2025-01-10
183,7,Vedant Patil,Male,29,2024-11-17,Food Enthusiast,True,2024-11-17
184,8,Ritvik Patil,Male,38,2024-01-14,Working Professional,True,2024-01-14
185,2,Sakshi More,Female,30,2025-06-02,Working Professional,True,2025-06-02
186,1,Om Kulkarni,Male,39,2024-08-05,Working Professional,True,2024-08-05
187,7,Aniket Naik,Male,31,2025-03-04,Food Enthusiast,True,2025-03-04
188,5,Akash Gawande,Male,36,2024-07-30,Family,True,2024-07-30
189,8,Shruti Shinde,Female,26,2025-12-13,Working Professional,True,2025-12-13
190,6,Ishita Kale,Female,38,2024-05-14,Working Professional,True,2024-05-14
191,5,Om Patil,Male,26,2024-04-20,Working Professional,True,2024-04-20
192,3,Akash Jadhav,Male,24,2025-07-01,Student,True,2025-07-01
193,3,Vedant Sawant,Male,40,2024-12-02,Family,True,2024-12-02
194,1,Pooja Kadam,Female,25,2025-04-28,Student,True,2025-04-28
195,3,Ankita Sawant,Female,18,2024-03-05,Student,True,2024-03-05
196,7,Vedant Kulkarni,Male,18,2024-09-11,Student,True,2024-09-11
197,8,Aisha Kadam,Female,29,2025-07-13,Working Professional,True,2025-07-13
198,3,Rohan More,Male,37,2024-05-01,Working Professional,True,2024-05-01
199,2,Ishita Chavan,Female,35,2025-09-19,Working Professional,True,2025-09-19
200,7,Soham Kadam,Male,38,2024-08-24,Family,True,2024-08-24
201,1,Swara Chavan,Female,39,2025-03-20,Food Enthusiast,True,2025-03-20
202,7,Naina Joshi,Female,40,2025-03-10,Working Professional,True,2025-03-10
203,1,Aditya Kadam,Male,18,2024-10-27,Student,True,2024-10-27
204,5,Pranav Chavan,Male,24,2024-03-09,Working Professional,True,2024-03-09
205,2,Sneha Pawar,Other,20,2025-10-29,Student,True,2025-10-29
206,8,Rohan Kulkarni,Male,20,2024-03-01,Student,True,2024-03-01
207,4,Swara Pawar,Female,44,2025-08-08,Family,True,2025-08-08
208,8,Rutuja Shinde,Female,37,2025-05-02,Family,False,2025-05-02
209,1,Rohan Kale,Male,24,2025-08-06,Working Professional,True,2025-08-06
210,5,Priya Shinde,Female,21,2024-01-07,Student,True,2024-01-07
211,6,Naina Kale,Female,40,2025-06-29,Family,True,2025-06-29
212,4,Vaishnavi Kale,Female,25,2024-06-30,Student,True,2024-06-30
213,1,Aisha Shinde,Female,19,2025-11-03,Student,False,2025-11-03
214,5,Tanvi Sawant,Female,24,2024-09-23,Student,True,2024-09-23
215,7,Aniket Sawant,Male,27,2024-11-11,Working Professional,True,2024-11-11
216,5,Nikhil Joshi,Male,29,2025-09-18,Food Enthusiast,True,2025-09-18
217,7,Neha Bhosale,Female,33,2024-03-05,Working Professional,True,2024-03-05
218,5,Ritvik Sawant,Male,23,2024-10-31,Student,True,2024-10-31
219,6,Kavya Kadam,Female,22,2025-06-27,Student,False,2025-06-27
220,8,Nikhil Bhosale,Male,29,2024-10-19,Working Professional,True,2024-10-19
221,4,Riya Bhosale,Female,32,2025-09-14,Working Professional,True,2025-09-14
222,8,Rutuja Pawar,Female,23,2024-11-22,Student,True,2024-11-22
223,1,Aarav Kale,Male,38,2024-03-07,Working Professional,False,2024-03-07
224,2,Swara Kadam,Female,34,2024-01-07,Working Professional,True,2024-01-07
225,1,Pranav Sawant,Male,27,2024-10-26,Food Enthusiast,False,2024-10-26
226,2,Aditya Deshmukh,Male,39,2024-03-24,Food Enthusiast,True,2024-03-24
227,2,Harsh More,Male,25,2024-01-21,Student,True,2024-01-21
228,2,Ananya Gawande,Female,21,2024-09-19,Student,False,2024-09-19
229,6,Rohan Sawant,Male,45,2024-07-20,Family,True,2024-07-20
230,2,Soham Sawant,Male,22,2025-03-05,Student,True,2025-03-05
231,3,Aisha Patil,Female,28,2025-12-09,Food Enthusiast,True,2025-12-09
232,1,Karan Pawar,Male,19,2025-01-21,Student,True,2025-01-21
233,8,Tanmay Jadhav,Male,47,2024-03-27,Family,True,2024-03-27
234,5,Neha Jadhav,Female,48,2025-05-16,Family,True,2025-05-16
235,5,Karan Gawande,Male,32,2024-04-19,Family,True,2024-04-19
236,4,Aisha Sawant,Female,21,2024-04-15,Student,False,2024-04-15
237,8,Tanmay Shinde,Male,35,2025-11-25,Working Professional,True,2025-11-25
238,5,Ananya Pawar,Female,29,2024-07-08,Working Professional,True,2024-07-08
239,3,Rutuja Sawant,Female,37,2025-02-19,Family,True,2025-02-19
240,2,Sakshi Jadhav,Female,36,2025-11-21,Working Professional,True,2025-11-21
241,8,Diya Naik,Female,24,2024-01-30,Working Professional,True,2024-01-30
242,2,Ankita Joshi,Female,33,2024-11-25,Family,True,2024-11-25
243,7,Atharva Joshi,Male,32,2024-11-05,Working Professional,True,2024-11-05
244,5,Aditya Jadhav,Male,30,2025-05-10,Working Professional,True,2025-05-10
245,4,Akash Shinde,Male,31,2024-05-08,Family,True,2024-05-08
246,5,Atharva Sawant,Male,24,2025-08-07,Student,True,2025-08-07
247,7,Aditya Sawant,Male,32,2024-05-13,Working Professional,True,2024-05-13
248,6,Neha Pawar,Female,25,2024-05-18,Food Enthusiast,True,2024-05-18
249,5,Priya Jadhav,Female,23,2025-03-12,Working Professional,True,2025-03-12
250,2,Sakshi Joshi,Female,47,2024-10-30,Family,True,2024-10-30
251,5,Akash Kulkarni,Other,36,2024-01-06,Working Professional,True,2024-01-06
252,5,Yash Joshi,Male,25,2024-01-21,Student,True,2024-01-21
253,6,Priya Naik,Female,33,2024-12-20,Working Professional,True,2024-12-20
254,3,Rohan Kadam,Male,21,2024-03-18,Student,True,2024-03-18
255,7,Aryan Deshmukh,Male,33,2024-05-17,Family,True,2024-05-17
256,7,Aditya Kale,Male,27,2025-05-29,Working Professional,True,2025-05-29
257,5,Vedant More,Male,23,2025-04-05,Working Professional,True,2025-04-05
258,3,Tanmay More,Male,24,2024-07-17,Working Professional,False,2024-07-17
259,5,Akash Sawant,Male,33,2025-05-13,Food Enthusiast,False,2025-05-13
260,8,Swara Sawant,Female,25,2025-11-13,Working Professional,True,2025-11-13
261,6,Rohan Pawar,Male,24,2025-08-23,Student,True,2025-08-23
262,6,Vaishnavi Chavan,Female,35,2024-09-22,Food Enthusiast,True,2024-09-22
263,8,Ritvik Chavan,Male,25,2024-08-23,Student,True,2024-08-23
264,4,Komal Patil,Female,42,2024-11-22,Family,True,2024-11-22
265,3,Harsh Gawande,Male,32,2025-05-30,Working Professional,True,2025-05-30
266,6,Akash Naik,Male,35,2025-09-09,Family,True,2025-09-09
267,3,Shruti Gawande,Female,23,2025-08-10,Student,True,2025-08-10
268,1,Tejas Pawar,Male,25,2025-01-12,Student,True,2025-01-12
269,3,Vedant Kadam,Male,22,2024-02-24,Student,True,2024-02-24
270,1,Sakshi Kale,Female,35,2025-09-16,Working Professional,True,2025-09-16
271,3,Tejas Shinde,Male,31,2025-12-14,Family,True,2025-12-14
272,8,Vedant Joshi,Male,42,2024-05-07,Food Enthusiast,True,2024-05-07
273,7,Aniket Gawande,Male,23,2024-04-09,Student,True,2024-04-09
274,3,Nikhil More,Male,36,2024-11-15,Family,True,2024-11-15
275,3,Aarav Bhosale,Male,34,2024-05-24,Food Enthusiast,False,2024-05-24
276,4,Soham More,Male,42,2024-03-12,Food Enthusiast,False,2024-03-12
277,2,Riya Patil,Female,38,2025-09-06,Working Professional,True,2025-09-06
278,7,Ankita Pawar,Female,25,2024-04-21,Student,True,2024-04-21
279,3,Yash Pawar,Male,47,2024-10-02,Family,False,2024-10-02
280,5,Ishita Deshmukh,Female,22,2024-11-21,Student,True,2024-11-21
281,3,Rohan Naik,Male,41,2025-08-29,Food Enthusiast,False,2025-08-29
282,8,Aarav More,Male,43,2024-11-21,Family,False,2024-11-21
283,7,Aarav Kulkarni,Male,31,2024-09-06,Working Professional,True,2024-09-06
284,6,Aryan Kulkarni,Male,51,2024-02-28,Family,True,2024-02-28
285,2,Sneha Pawar,Female,47,2024-11-08,Family,True,2024-11-08
286,6,Priya Chavan,Female,20,2025-07-17,Student,True,2025-07-17
287,3,Sneha Chavan,Female,21,2024-10-22,Student,True,2024-10-22
288,2,Aisha Chavan,Female,43,2024-01-07,Family,True,2024-01-07
289,7,Kavya More,Female,23,2025-09-30,Student,True,2025-09-30
290,4,Ananya Kulkarni,Female,18,2025-05-14,Student,True,2025-05-14
291,1,Swara More,Female,26,2024-08-28,Working Professional,False,2024-08-28
292,6,Ritvik Naik,Male,30,2024-07-30,Family,False,2024-07-30
293,5,Swapnil More,Male,38,2024-08-06,Family,True,2024-08-06
294,1,Komal Chavan,Other,46,2024-09-23,Family,True,2024-09-23
295,1,Pranav Naik,Male,38,2024-12-04,Working Professional,True,2024-12-04
296,4,Yash Gawande,Male,25,2024-05-31,Student,True,2024-05-31
297,1,Aniket Pawar,Male,18,2024-03-19,Student,True,2024-03-19
298,4,Tejas Kulkarni,Male,50,2025-11-27,Family,True,2025-11-27
299,7,Ritvik Shinde,Male,23,2024-09-12,Food Enthusiast,False,2024-09-12
300,8,Riya Pawar,Female,25,2025-05-31,Student,True,2025-05-31
301,4,Om Jadhav,Male,36,2025-03-24,Working Professional,True,2025-03-24
302,8,Tejas Gawande,Male,23,2025-12-19,Student,True,2025-12-19
303,5,Aarav Kadam,Male,23,2024-05-03,Food Enthusiast,True,2024-05-03
304,8,Ishita Shinde,Female,34,2025-04-01,Family,True,2025-04-01
305,8,Komal Joshi,Female,29,2025-10-25,Working Professional,True,2025-10-25
306,3,Tanmay Kadam,Male,44,2024-02-28,Food Enthusiast,True,2024-02-28
307,7,Aditya Gawande,Male,39,2025-07-14,Working Professional,True,2025-07-14
308,3,Pooja Sawant,Other,30,2024-06-23,Family,True,2024-06-23
309,7,Rohan Chavan,Male,30,2024-12-17,Working Professional,True,2024-12-17
310,7,Siddharth Joshi,Male,18,2024-07-01,Student,False,2024-07-01
311,1,Swapnil Kulkarni,Male,40,2024-03-07,Working Professional,True,2024-03-07
312,7,Karan Kulkarni,Male,55,2024-09-08,Family,True,2024-09-08
313,4,Meera Pawar,Female,25,2024-11-22,Working Professional,True,2024-11-22
314,4,Karan Naik,Male,27,2024-01-26,Working Professional,True,2024-01-26
315,2,Nikhil Kulkarni,Male,24,2024-06-21,Working Professional,False,2024-06-21
316,7,Ishita More,Female,37,2025-05-31,Working Professional,True,2025-05-31
317,6,Ishita Kadam,Female,52,2024-12-05,Family,True,2024-12-05
318,1,Atharva Shinde,Male,41,2025-12-05,Family,True,2025-12-05
319,8,Nikhil Pawar,Male,36,2025-01-08,Food Enthusiast,True,2025-01-08
320,2,Swapnil Bhosale,Male,37,2024-03-27,Family,True,2024-03-27
321,8,Diya Pawar,Female,20,2024-10-02,Student,True,2024-10-02
322,3,Diya Bhosale,Female,38,2025-06-17,Family,True,2025-06-17
323,5,Ishita Bhosale,Female,18,2025-11-25,Student,True,2025-11-25
324,3,Tejas Joshi,Male,25,2024-11-03,Student,True,2024-11-03
325,2,Aisha More,Female,31,2025-11-18,Working Professional,True,2025-11-18
326,8,Aryan Sawant,Male,37,2024-07-08,Working Professional,True,2024-07-08
327,3,Siddharth Chavan,Other,39,2025-07-04,Food Enthusiast,False,2025-07-04
328,3,Tanvi Shinde,Female,36,2025-06-24,Working Professional,False,2025-06-24
329,8,Swapnil Joshi,Male,53,2025-02-07,Family,True,2025-02-07
330,2,Siddharth Pawar,Male,29,2024-09-10,Working Professional,True,2024-09-10
331,7,Meera Gawande,Female,25,2024-02-18,Student,False,2024-02-18
332,7,Karan Kadam,Male,30,2024-06-30,Working Professional,True,2024-06-30
333,3,Ankita Deshmukh,Female,53,2024-04-24,Family,True,2024-04-24
334,3,Atharva Chavan,Male,37,2025-05-08,Working Professional,True,2025-05-08
335,4,Om Shinde,Male,21,2024-09-06,Student,False,2024-09-06
336,1,Ishita Kulkarni,Female,45,2025-08-10,Family,False,2025-08-10
337,5,Vaishnavi Sawant,Female,21,2024-04-15,Student,True,2024-04-15
338,3,Nikhil Deshmukh,Male,24,2025-10-26,Student,False,2025-10-26
339,6,Neha Joshi,Female,38,2024-06-09,Working Professional,True,2024-06-09
340,3,Pooja Sawant,Female,35,2024-02-02,Family,True,2024-02-02
341,7,Vedant Shinde,Male,45,2025-11-09,Family,True,2025-11-09
342,8,Nikhil Patil,Male,23,2025-11-05,Student,True,2025-11-05
343,2,Aniket Jadhav,Male,34,2024-02-10,Food Enthusiast,True,2024-02-10
344,2,Aryan Bhosale,Male,26,2024-04-09,Working Professional,False,2024-04-09
345,2,Pranav Kulkarni,Male,24,2024-10-19,Working Professional,True,2024-10-19
346,3,Siddharth Bhosale,Male,47,2025-12-07,Family,True,2025-12-07
347,4,Vaishnavi Bhosale,Female,19,2025-11-26,Student,True,2025-11-26
348,4,Nikhil Sawant,Male,45,2025-05-29,Food Enthusiast,False,2025-05-29
349,1,Vaishnavi More,Female,43,2024-08-12,Family,True,2024-08-12
350,8,Siddharth More,Male,29,2024-02-17,Working Professional,True,2024-02-17
351,5,Aditya Kulkarni,Male,19,2024-08-14,Student,True,2024-08-14
352,3,Tejas Naik,Male,25,2024-02-22,Student,True,2024-02-22
353,4,Diya Sawant,Female,34,2024-06-14,Family,True,2024-06-14
354,7,Aryan More,Male,48,2025-10-28,Family,False,2025-10-28
355,3,Riya Shinde,Female,19,2025-02-02,Student,True,2025-02-02
356,7,Komal Gawande,Female,35,2025-10-12,Working Professional,True,2025-10-12
357,3,Ankita Naik,Female,53,2025-02-14,Family,True,2025-02-14
358,8,Ananya Patil,Female,40,2025-11-06,Family,True,2025-11-06
359,6,Atharva Gawande,Male,32,2025-04-29,Family,True,2025-04-29
